p,d,q,AIC,BIC,converged,status
1,1,2,15174.068373804723,15203.819064164509,False,ok
2,1,1,15178.528013487838,15208.284404560642,True,ok
1,0,2,15185.932404900566,15215.68879597337,True,ok
2,1,2,15186.68201609296,15221.391154846044,False,ok
2,0,0,15196.134166110918,15220.935904756425,True,ok
2,0,2,15197.111005726236,15231.826795311174,False,ok
2,0,1,15198.163911405734,15227.925997780341,False,ok
1,0,1,15199.282389108947,15224.084127754453,True,ok
1,1,1,15221.451964271908,15246.248956832578,False,ok
0,0,2,15235.005410910442,15259.802403471112,True,ok
0,1,2,15237.149475062306,15261.941717028794,True,ok
0,1,1,15252.928621419615,15272.766215468151,True,ok
1,0,0,15255.09096087152,15274.93614505516,True,ok
2,1,0,15291.007962139853,15315.804954700523,True,ok
1,1,0,15346.610145736748,15366.451536653152,True,ok
0,0,1,15361.772474447807,15381.613865364212,True,ok
0,1,0,15514.17345884283,15529.054502030134,True,ok
0,0,0,15579.080211254088,15593.964099391818,True,ok
